,places,longitude,latitude
0,Paris,2.3483915,48.8534951
1,Marseille,5.3699525,43.2961743
2,Lyon,4.8320114,45.7578137
3,Toulouse,1.4442469,43.6044622
4,Nice,7.2683912,43.7009358
5,Nantes,-1.5541362,47.2186371
6,Strasbourg,7.7507127,48.584614
7,Montpellier,3.8767337,43.6112422
8,Bordeaux,-0.5800364,44.841225
9,Lille,3.0635282,50.6365654
10,Rennes,-1.6800198,48.1113387
11,Reims,4.031926,49.2577886
12,Le Havre,0.1079732,49.4938975
13,Saint-Étienne,4.3873058,45.4401467
14,Toulon,5.9304919,43.1257311
15,Grenoble,5.7357819,45.1875602
16,Dijon,5.0414701,47.3215806
17,Nîmes,4.3600687,43.8374249
18,Angers,-0.5515588,47.4739884
19,Villeurbanne,4.8796196,45.7661443
20,Le Mans,0.1967849,48.0073849
21,Saint-Denis,2.3580232,48.935773
22,Aix-en-Provence,5.4474738,43.5298424
23,Clermont-Ferrand,3.0819427,45.7774551
24,Brest,-4.4860088,48.3905283
25,Limoges,1.2644847,45.8354243
26,Tours,0.6889268,47.3900474
27,Amiens,2.2956951,49.8941708
28,Perpignan,2.8953121,42.6985304
29,Metz,6.1763552,49.1196964
30,Besançon,6.0243622,47.2380222
31,Boulogne-Billancourt,2.240206,48.8356649
32,Orléans,1.9086066,47.9027336
33,Mulhouse,7.3389937,47.7467233
34,Rouen,1.0939658,49.4404591
35,Saint-Denis,2.3580232,48.935773
36,Caen,-0.3635615,49.1813403
37,Argenteuil,2.2481797,48.9479069
38,Saint-Paul,2.0100016,49.4318046
39,Montreuil,1.7631125,50.4638918
40,Nancy,6.1834097,48.6937223
41,Roubaix,3.1741734,50.6915893
42,Tourcoing,3.1605714,50.7235038
43,Nanterre,2.2071267,48.8924273
44,Avignon,4.8059012,43.9492493
45,Vitry-sur-Seine,2.39164,48.7876
46,Créteil,2.4530731,48.7771486
47,Dunkirk,2.3772525,51.0347708
48,Poitiers,0.340196,46.5802596
49,Asnières-sur-Seine,2.2890454,48.9105948
50,Courbevoie,2.2561602,48.8953328
51,Versailles,2.1266886,48.8035403
52,Colombes,2.2543577,48.922788
53,Fort-de-France,-61.0676724,14.6027962
