,"places","longitude","latitude"
0,"Rome","12.4829321","41.8933203"
1,"Milan","9.1896346","45.4641943"
2,"Naples","14.2487679","40.8358846"
3,"Turin","7.6824892","45.0677551"
4,"Palermo","13.3524434","38.1112268"
5,"Genoa","8.9338624","44.40726"
6,"Bologna","11.3426327","44.4938203"
7,"Florence","11.2555757","43.7698712"
8,"Bari","16.8620293","41.1257843"
9,"Catania","15.0873718","37.5023612"
10,"Venice","12.3345898","45.4371908"
11,"Verona","10.9924122","45.4384958"
12,"Messina","15.5542082","38.1937571"
13,"Padua","11.8734455","45.4077172"
14,"Trieste","13.7772781","45.6496485"
15,"Taranto","17.08058012454743","40.54881555"
16,"Brescia","10.4258729694612","45.77958045"
17,"Prato","11.09414726770089","43.935718050000006"
18,"Reggi","11.7656679","43.8435505"
19,"Modena","10.935960870530739","44.5384728"
20,"Parma","10.3280833","44.8013678"
21,"Perugia","12.402996209906487","43.1070321"
22,"Livorno","10.340278678735025","42.790216599999994"
23,"Reggi","11.7656679","43.8435505"
24,"Cagliari","9.113311","39.2171994"
25,"Foggia","15.452899609627728","41.50281055"
26,"Ravenna","12.059009490863945","44.364060699999996"
27,"Rimini","12.630768610516004","43.9470982"
28,"Ferrara","11.827938995640167","44.766764249999994"
29,"Salerno","15.310756230322482","40.419441649999996"
30,"Sassari","8.5610074","40.7232643"
31,"Siracusa","15.2907196","37.0646139"
32,"Pescara","13.95759010584892","42.3102619"
33,"Monza","9.278869369225038","45.639544"
34,"Bergamo","9.754219200862249","45.756655699999996"
35,"Vicenza","11.40635425660249","45.63485905"
36,"Latina","13.012591212188894","41.45952605"
37,"Forlì","12.041273","44.2227278"
38,"Trento","11.12974249416882","46.1029536"
40,"Terni","12.439652829139407","42.6539486"
41,"Novara","8.545996970894572","45.584250049999994"
42,"Ancona","13.218790609151764","43.480120400000004"
43,"Bolzan","11.23021287087526","46.655945450000004"
45,"Andri","12.3700745","45.4134348"
46,"Udin","13.2358377","46.0634632"
49,"L","11.3860081","46.3883263"
50,"Cesen","12.0113763","45.9459356"
51,"Lecc","9.4910647","45.1528108"
52,"Barlett","16.2816883","41.3196581"
54,"Alessandri","10.3273837","43.5301541"
56,"Torr","11.767259924419953","45.79775895"
57,"Pis","10.6626469","45.6972578"
58,"Pistoi","9.6582294","44.432489"
59,"Com","-121.8943326","37.3340519"
60,"Pozzuoli","14.1219109","40.822643"
61,"Marsala","12.4342091","37.7979221"
63,"Vares","8.754133838056571","45.839720299999996"
64,"Trevis","12.206315763116372","45.806691349999994"
65,"Casoria","14.2901223","40.9045572"
66,"Sest","9.9759766","46.189673"
67,"Bust","-73.9949266","40.7234177"
69,"Grosset","15.645681","40.9942619"
70,"Gela","14.2502445","37.0664363"
71,"Guidoni","11.2080781","43.7997538"
72,"Cinisell","9.2143166","45.5560589"
73,"Ast","8.2068876","44.900542"
76,"Cremon","11.5232595","45.2006816"
77,"Pavi","9.6985052","45.0535654"
79,"Quart","7.4143619","45.7409575"
81,"Cosenz","12.285193176913959","45.52539625"
82,"Mass","7.62014","45.0745688"
84,"Altamura","16.5527314","40.8285595"
85,"Imola","11.7141233","44.3535145"
87,"Carpi","10.8854523","44.7835699"
88,"Carrara","10.1023532","44.0791804"
89,"Aprilia","12.6485765","41.5942016"
90,"Afragola","14.310831","40.926012"
91,"Viareggio","10.2506055","43.8672392"
92,"Benevent","14.705705363146528","41.2476307"
93,"Fano","13.0146632","43.8424173"
94,"Savon","12.6318049","46.4379082"
95,"Vittoria","14.5304867","36.9514957"
96,"Fiumicino","12.2278855","41.7712145"
100,"Molfetta","16.5968279","41.1992456"
101,"Mater","9.058831","45.9287575"
