,places,longitude,latitude
0,Å,8.7401612,60.6598862
1,Ådalsbruk,11.3057568,60.7894133
2,Adamstuen,10.7332199,59.9334481
3,Åfjord,10.219907721089251,64.0835634
4,Agdenes,9.5152591,63.5832472
5,Agder,8.034963534558171,58.71944225
6,Ågotnes,5.0024982,60.4042983
7,Aker brygge,10.7250417,59.9099278
8,Akershus,11.320172312435517,60.03851925
9,Åkrehamn,5.1859501,59.2608001
10,Åkrene,11.117785,59.939341
11,Aksdal,5.445157,59.4230834
12,Ål,8.503740458963836,60.69726555
13,Ålesund,6.168828066313526,62.76712545
14,Ålgård,5.8472399,58.7692076
15,Algarheim,11.2522803,60.1443687
16,Alna,10.8352756,59.9324168
17,Alshus,10.9464583,59.1720472
18,Alstahaug,12.431780401598033,65.86742229999999
19,Alsvåg,15.2800197,68.9018016
20,Alta,23.2733282,69.9666046
21,Alternes,14.0218778,66.3083291
22,Alvdal,10.50249213455308,62.0965119
23,Ålvik,6.4324249,60.4312911
24,Åmli,8.324120099496348,58.7996897
25,Åmot,11.605205608876366,61.261177950000004
26,Amtmannsnes,23.2942694,69.9889242
27,Åndalsnes,7.6867621,62.5681692
28,Andebu,10.1757848,59.305764
29,Andenes,16.13968094661204,69.29132535
30,Andøy,15.7739747867247,69.2398567
31,Andøya,15.759284684216212,69.0995473
32,Andselv,18.5306953,69.073508
33,Andslimoen,18.5792958,69.0903474
34,Åneby,10.8627588,60.0854639
35,Årås,4.9329999,60.7770731
36,Årdal,7.804961075198172,61.28605655
37,Årdalstangen,7.7025037,61.236136
38,Aremark,11.687334481145378,59.185925299999994
39,Arendal,8.94694911492874,58.42673005
40,Arna,5.4666318,60.4202652
41,Årnes,11.4648744,60.1236367
42,Årnset,9.9604948,63.5901863
43,Åros,10.5110776,59.7059647
44,Årøysund,10.4574576,59.1831961
45,Årset,6.3854906,62.5002643
46,Årstad,5.355389809735507,60.36098545
47,Ås,10.856464,59.924854
48,Åsane,5.338944600558691,60.4724133
49,Åse,15.8094355,69.0160614
50,Åsen,18.8455474,69.5251089
51,Åsgårdstrand,10.4680198,59.3491387
52,Åsgrenda,10.9910233,60.1709688
53,Asker,10.47483598845985,59.68126025
54,Askgrenda,10.2025722,59.8122306
55,Askim,11.1641908,59.5832224
56,Askje,5.6871202,59.0677305
57,Askjem,9.9994459,63.509892
58,Askøy,5.094819869068348,60.5023024
59,Askvoll,4.679680639813811,61.35374245
60,Åsnes,12.186882677125336,60.68122735
61,Audnedal,7.3351151,58.222171
62,Aukra,6.678643917674241,62.939316000000005
63,Aulifeltet,11.3527389,60.0346761
64,Aurdal,9.4149741,60.9244603
65,Aure,8.511189131365033,63.28020495
66,Aurland,7.20953263531658,60.87089325
67,Aurlandsvangen,7.1869771,60.9057573
68,Aurskog-Høland,11.595625634838704,59.8086308
69,Aursmoen,11.4427327,59.9276247
70,Aust-Agder,7.371130883739518,59.567840149999995
71,Austevoll,4.943296323343294,60.060384299999996
72,Austlandet,4.8653445,60.5723461
73,Austmarka,12.3212407,60.1003757
74,Austnes,6.2735164,62.6374298
75,Austreim,8.6736414,61.1709867
76,Austrheim,4.872126364450646,60.7939165
77,Ausvika,14.491824027165176,67.33447185
78,Avaldsnes,5.2785707,59.3549362
79,Averøy,7.4323066310460995,63.1371204
80,Bærum,10.499710818578329,59.9289639
81,Bagn,9.5523106,60.8225956
82,Balestrand,6.5360834,61.2096194
83,Ballangen,16.8313381,68.342872
84,Ballstad,13.5450454,68.0742983
85,Balsfjord,19.169931437165275,69.2799737
86,Bamble,9.544313492899201,59.018085400000004
87,Bangsund,11.3959793,64.3923404
88,Barcode,10.7595581,59.9080901
89,Bardu,18.68039524040413,68.7027714
90,Barkåker,10.3899148,59.3186085
91,Batnfjordsøra,7.679776,62.8933784
92,Båtsfjord,30.327265303498322,70.61427605
93,Beisfjord,17.5962873,68.3761714
94,Beitostølen,8.9062594,61.2487161
95,Bekkelaget,10.7757743,59.8814224
96,Bekkjarvik,5.2043518,60.0071016
97,Berg,10.7453664,59.9512469
98,Bergen,5.3259192,60.3943055
99,Bergenhus,5.29439308725682,60.407048950000004
100,Berger,10.3807984,59.5448629
101,Bergsåsen,10.2497694,59.3636194
102,Bergsmo,12.2185755,64.4673641
103,Bergstad,18.7028083,69.5400944
104,Berkåk,10.0095189,62.8280291
105,Berlevåg,29.150528646532546,70.79904505
106,Bindal,12.435752138472857,65.22111015
107,Biri,10.6094855,60.9565725
108,Birkeland,8.2320026,58.330797
109,Birkenes,8.237799937674701,58.4394635
110,Bismo,8.2664114,61.8843655
111,Bjerka,13.8362759,66.149043
112,Bjerke,10.829208453029786,59.941394700000004
113,Bjerkreim,6.158869699212522,58.65455625
114,Bjerkvik,17.5571481,68.5491657
115,Bjervamoen,9.1063141,59.2983943
116,Bjølstad,9.2871547,61.7616857
117,Bjørgum,6.5406324,60.614404
118,Bjørkelangen,11.544373461315965,59.85166475
119,Bjørnevatn,29.9872241,69.6673657
120,Bjørvika,10.7545531,59.9083819
121,Bjugn,9.808629,63.7649663
122,Blæstadgrenda,11.178475,60.816003
123,Blaker,11.3012644,60.0048346
124,Blakstad,10.4646853,59.8191548
125,Bleik,15.9560051,69.2719541
126,Blindern,10.716072,59.9401338
127,Bø,14.282668557940369,68.7408364
128,Bodø,13.915441997137794,67.3094783
129,Bogen,11.4684157,64.0190836
130,Bokn,5.475702645238316,59.19252415
131,Bømlo,5.048475346723132,59.703684100000004
132,Borgen,10.695638,59.9346211
133,Borkenes,16.1715549,68.7726305
134,Børsa,10.0662385,63.3247682
135,Botngård,9.810943,63.7696011
136,Botten,9.5615952,58.9701334
138,Bøverbru,10.6771824,60.6662105
139,Brandal,6.0086323,62.4004193
140,Brandbu,10.5070018,60.4207532
141,Brandsøy,5.1359345,61.6026712
142,Brårud,11.3390247,60.2085553
143,Braskereidfoss,11.8003898,60.7242592
144,Bratsberg,10.4824396,63.349303
146,Breivikbotn,22.2871516,70.5886731
147,Brekkeåsen,9.881339,59.708475
148,Brekstad,9.6664996,63.6868716
149,Bremanger,5.057135182629548,61.848102850000004
150,Bremsnes,7.6615851,63.0845779
151,Brennåsen,9.417825,59.675806
152,Brevik,9.699978,59.0528886
153,Brønnøy,11.82116993881591,65.41363515
154,Brønnøysund,12.2116394,65.4748755
155,Brønnsletten,27.3527374,70.9443165
156,Brøttum,10.5534589,61.0285229
157,Bru,5.649514367689962,59.042364199999994
158,Brumunddal,10.9418392,60.884916
159,Brusand,5.7448455,58.5405388
160,Bryggja,5.4320714,61.9387873
161,Bryne,5.6478183,58.735525
162,Bud,6.9143693,62.9072115
163,Burfjord,22.0518668,69.9378704
164,Buskerud,15.5490888,68.9721139
165,Buskogen,10.9349886,59.1789851
166,Buvika,10.1738766,63.3084804
167,Bybrua,5.747191,58.9748214
168,Bygdøy,10.679746050187354,59.9069949
169,Bygland,7.733850127918564,58.87201925
170,Byglandsfjord,7.8076569,58.6675708
171,Bykle,7.2310871186421295,59.42730565
172,Byrkjelo,6.5053208,61.7330135
173,Byrknes,4.8376925,60.8992161
174,City,121.0865776,14.6557595
175,County,-91.9215691,41.9027805
176,Dalane,9.3679241,58.872109
177,Dale,7.7889092,63.1219922
178,Dalemarka,5.1948589,60.5139833
179,Dalen,8.0037607,59.4448745
180,Darbu,9.7999147,59.7014181
181,Davanger,5.1137402,60.4711612
182,Deatnu Tana,27.891327153538903,70.28233420000001
183,Degernes,11.4223794,59.3533563
184,Dimmelsvik,5.9756773,59.9535532
185,Dimna,5.8018213,62.3256077
186,Disenå,11.6415878,60.2066794
187,Dokka,10.0739023,60.8347165
188,Dombås,9.1278983,62.0755539
189,Dovre,9.440367091535318,62.11462645
190,Drag,16.0800251,68.0447107
191,Dragsund,5.8197112,62.2802416
192,Drammen,10.175641950012762,59.6964936
193,Drangedal,8.9687835464674,59.09089375
194,Drøbak,10.6293392,59.6633005
195,Egersund,6.0007554,58.4515121
196,Eggkleiva,10.049459,63.2813836
197,Eid,7.6552528,58.0437972
198,Eidbukta,13.720628,66.842989
199,Eide,6.5460569,60.0567986
200,Eidfjord,7.0080879,60.4860338
201,Eidsberg,11.3037863,59.5135508
202,Eidsbotn,11.26239216514346,63.735174
203,Eidskog,12.080849068374137,59.991080749999995
204,Eidsvåg,5.302145369580179,60.44105345
205,Eidsvik,6.5782593,62.5431442
206,Eidsvoll,11.255544249678406,60.41629645
207,Eigersund,5.925820265812268,58.40343595
208,Eikefjord,5.4624139,61.5881405
209,Eikeland,8.2949006,58.2843673
210,Eikelandsosen,5.7450954,60.2407343
211,Eina,10.5974936,60.6303188
212,Eivindvik,5.0782594,60.9800683
213,Ekeberg,10.7738639,59.8960812
214,Ekne,11.042774,63.6962201
215,Elnesvågen,7.1550965,62.8533303
216,Eltonåsen,11.0214901,60.1359174
217,Elverum,11.734442073482581,60.97280245
218,Enebakk,11.104546563719158,59.769249200000004
219,Ersfjordbotn,18.6208344,69.6944118
220,Etne,6.294994955666921,59.7985899
221,Evenes,16.906967779768962,68.49686075
223,Evje,10.5138417,59.8997806
224,Evje og Hornnes,7.861506825099659,58.5860538
225,Fåberg,7.3269297,61.6716408
226,Fagerliåsen,10.262428,59.9041192
227,Fagernes,9.236413,60.9860981
228,Fagerstrand,10.5974391,59.7396833
229,Fana,5.3452894,60.2633267
230,Fanahammeren,5.3371856,60.2622428
231,Fannrem,9.8140413,63.2659291
232,Fardalen,7.7499831,61.3589241
233,Farsund,6.584827355243855,58.038737299999994
234,Fauske,15.784422075480048,67.23671525
235,Fåvang,10.1947546,61.4554298
236,Feda,6.8186187,58.2665247
237,Fedje,4.478821674495913,60.792886499999994
238,Ferkingstad,5.1968921,59.2241562
239,Fet,6.6160322,62.3087441
240,Fetsund,11.1623481,59.9270625
241,Figgjo,5.8129174,58.7866295
242,Fiksdal,6.8532833,62.6191612
243,Fillan,8.9758184,63.6024311
244,Finnbråtan,10.1490222,60.2626306
245,Finnestad,5.6554045,58.9961447
246,Finnmark,9.5833627,58.9435055
247,Finnøy,5.802329666221826,59.201204450000006
248,Finnsnes,17.9812966,69.2296016
249,Fiskåbygd,5.558251,62.1004924
250,Fitjar,5.298614699704089,59.90274745
251,Fjaler,5.479256476952042,61.28056825
252,Fjell,10.205564346515292,59.7228421
253,Fjellfoten,11.4738604,60.0905103
254,Fjellsrud,10.9784382,59.937481
255,Fjellstad,11.0963221,59.8577137
256,Fjellstrand,10.6153616,59.7979477
257,Fjordane,5.8885792,61.4587979
258,Flatanger,10.62267841041298,64.52909185
259,Flateby,11.153367,59.8292738
260,Flekke,5.36109,61.3187823
261,Flekkefjord,6.612962604643913,58.294935699999996
262,Flesberg,9.445058326507027,59.85726655
